Word,Frequency
the,40627
and,31310
of,26205
to,23638
a,19900
in,18125
original,16592
is,12479
for,9577
that,8439
are,8180
it,7361
their,7233
with,6229
as,6129
they,6028
people,5664
can,5214
on,5203
study,4785
have,4744
title,4506
be,3975
students,3809
language,3668
this,3594
not,3470
more,3437
also,3237
or,3209
from,3204
has,3144
by,3143
health,2941
an,2840
them,2823
which,2789
many,2774
there,2682
time,2562
because,2418
who,2396
learning,2257
children,2239
one,2233
all,2230
was,2155
such,2146
social,2127
may,2126
other,2104
will,2091
between,2079
first,2056
foreign,2029
mental,2015
causes,1942
some,1881
important,1872
effects,1842
example,1833
were,1812
s,1799
at,1788
second,1787
sleep,1767
use,1696
two,1694
life,1654
results,1650
when,1629
most,1564
these,1460
divorce,1446
depression,1431
than,1418
but,1410
about,1406
different,1367
sample,1358
addition,1317
new,1310
participants,1292
coffee,1290
lack,1290
physical,1260
research,1250
do,1235
so,1220
result,1220
abuse,1189
studies,1167
however,1159
person,1155
should,1139
make,1137
its,1125
another,1095
good,1059
games,1052
media,1040
both,1016
only,1014
data,1011
years,1010
due,1009
being,1008
among,1004
used,1001
problems,996
help,985
using,974
get,972
effect,962
addiction,953
anxiety,949
video,939
work,927
you,926
skills,917
communication,904
cause,901
reasons,893
affect,885
moreover,885
family,884
while,877
conclusion,876
up,869
healthy,861
size,855
way,853
substance,847
significant,843
like,843
if,842
benefits,841
group,834
instance,831
therefore,823
how,819
young,818
factors,804
article,803
several,803
impact,790
childhood,789
drug,788
information,784
learn,782
having,782
university,763
findings,761
languages,761
individuals,755
world,753
had,751
become,750
better,749
finally,744
limitations,738
friends,734
others,732
academic,715
lead,715
student,714
lot,711
patients,701
including,697
each,694
differences,690
been,687
drugs,685
need,684
researchers,680
college,680
studying,674
stress,672
education,670
into,666
teenagers,661
high,651
risk,648
could,647
affects,644
after,634
job,633
difference,628
food,621
parents,620
quality,617
psychological,616
adults,613
even,613
pressure,612
online,604
well,604
according,601
issues,589
lives,584
negative,579
home,575
various,573
furthermore,571
over,571
makes,569
since,569
no,569
bullying,568
any,566
future,565
medical,565
helps,565
brain,562
small,558
what,557
age,553
body,553
number,551
through,551
symptoms,547
women,545
although,544
those,543
communicate,540
during,538
diet,537
take,532
devices,532
nan,522
exercise,517
textbooks,517
school,516
vitamin,507
feel,505
experience,505
ability,503
relationships,503
increase,502
found,499
ways,496
out,492
three,490
daily,490
his,490
begin,490
groups,483
books,481
less,481
conducted,480
higher,479
major,478
teacher,471
know,471
free,471
improve,470
knowledge,470
your,469
common,467
relationship,464
main,463
now,462
disorders,462
ago,460
reason,458
might,457
youtube,456
must,449
hand,448
treatment,443
d,442
levels,441
without,440
cyberbullying,439
role,436
type,435
electronic,433
money,432
understanding,431
play,428
types,426
consequences,425
playing,424
around,424
today,423
control,421
opportunities,417
development,417
poor,415
find,413
nowadays,411
kids,410
he,401
want,401
ideal,397
think,395
outcomes,394
positive,394
large,393
thus,393
financial,392
limited,391
very,391
disease,390
increased,387
long,386
why,386
clearly,385
leads,385
activity,384
cancer,381
same,380
additionally,379
provide,377
understand,377
jobs,376
affected,376
our,376
secondly,375
advantages,374
generalizability,374
sum,373
population,371
eating,371
especially,370
grades,368
we,365
trial,364
low,364
getting,363
adolescents,360
every,360
teachers,360
day,357
diseases,356
season,356
activities,356
would,354
care,353
develop,353
popular,352
themselves,351
short,351
specific,351
making,348
analysis,347
society,347
previous,345
focus,344
clinical,343
weight,340
lifestyle,340
essential,340
management,338
mother,338
before,337
volunteering,336
cultures,336
design,334
often,332
illustrate,332
users,330
environment,329
intervention,328
twitter,328
things,328
start,327
importance,326
50,326
personal,325
did,324
performance,321
speak,321
limitation,321
problem,319
strength,319
easy,318
whatsapp,317
cognitive,315
randomized,314
past,313
able,312
give,311
go,311
skin,311
bad,310
couples,310
negatively,309
great,306
friend,305
winter,304
level,304
countries,302
hours,302
emotional,302
memory,302
schools,301
easier,300
strengths,299
support,298
awareness,294
therapy,292
part,292
whether,291
increases,290
conclude,289
likely,289
order,289
does,289
diabetes,285
considered,285
include,285
suffer,285
change,285
vs,284
smartphones,283
live,280
variety,279
working,279
internet,278
spend,277
method,277
difficult,276
provides,276
